Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage,# Kills,Notes
1,0:37:53,Vex'ahlia,Intelligence,20,18,,,,FIRST ROLL OMG
1,0:41:48,Grog,Persuasion,19,18,,,,
1,0:43:25,Keyleth,Persuasion,2,2,,,,
1,0:46:35,Tiberius,Persuasion,12,3,,,,Disregarded due to advantage
1,0:46:35,Tiberius,Persuasion,27,18,,,,
1,0:46:35,Percy,Persuasion,21,15,,,,
1,0:47:52,Keyleth,Insight,27,17,,,,
1,1:00:35,Vex'ahlia,Persuasion,21,18,,,,
1,1:05:16,Vex'ahlia,Stealth,15,6,,,,
1,1:05:16,Vax'ildan,Stealth,20,7,,,,
1,1:05:16,Scanlan,Constitution,20,18,,,,
1,1:07:32,Tiberius,Perception,5,8,,,,
1,1:08:18,Tiberius,Dexterity Save,15,12,,,,
1,1:12:39,Tiberius,Intimidation,18,13,,,,
1,1:13:24,Tiberius,Persuasion,24,13,,,,
1,1:17:29,Vex'ahlia,Charisma,Nat1,1,,,,FIRST CRIT FAIL
1,1:19:58,Vax'ildan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
1,1:19:58,Vax'ildan,Stealth,21,8,,,,With Advantage
1,1:20:40,Vax'ildan,Attack,Unknown,4,,,,Disregarded due to advantage
1,1:20:40,Vax'ildan,Attack,26,15,,,,Dagger Handle With advantage
1,1:21:30,Vax'ildan,Damage,27,,,,,FIRST DAMAGE
1,1:22:15,Vax'ildan,Acrobatics,30,17,,,,
1,1:24:15,Keyleth,Performance,Nat20,20,,,,FIRST NAT 20
1,1:26:49,Vax'ildan,Persuasion,15,13,,,,Disregarded due to advantage
1,1:26:49,Vax'ildan,Persuasion,15,13,,,,Wirh advantage
1,1:48:38,Tiberius,Persuasion,19,10,,,,
1,1:50:07,Vex'ahlia,Persuasion,23,16,,,,
1,1:59:06,Scanlan,Stealth,16,14,,,,Disregarded due to advantage
1,1:59:18,Scanlan,Stealth,16,14,,,,With advantage
1,2:02:41,Scanlan,Dexterity,Unknown,Unknown,,,,Disregarded due to disadvantage
1,2:02:41,Scanlan,Dexterity,11,11,,,,With disadvantage
1,2:19:48,Vax'ildan,Stealth,13,4,,,,
1,2:23:18,Percy,Attack,19,7,,,1,Pepperbox
1,2:23:18,Vex'ahlia,Attack,15,4,,,1,Arrow
1,2:23:18,Vax'ildan,Attack,19,9,,,1,Dagger
1,2:25:06,Grog,Initiative,18,16,,,,
1,2:25:06,Keyleth,Initiative,4,2,,,,
1,2:25:06,Percy,Initiative,27,20,,,,
1,2:25:06,Scanlan,Initiative,3,3,,,,
1,2:25:06,Tiberius,Initiative,21,19,,,,
1,2:25:06,Vax'ildan,Initiative,6,1,,,,
1,2:25:06,Vex'ahlia,Initiative,18,13,,,,
1,2:27:50,Percy,Attack,30,19,Y,,,"Bad News, FIRST CRIT"
1,2:28:30,Percy,Damage,27,,,27 to Ogre,,
1,2:30:57,Tiberius,Damage,27,,,"27 to 5 Goblins, 14 (27/2) to 2 Ogres",5,Fireball
1,2:32:11,Tiberius,Damage,10,,,10 to 2 Ogres,,"Telekinesis, Ogres are prone"
1,2:33:00,Vex'ahlia,Attack,21,10,,,,Lightning Arrow
1,2:33:17,Vex'ahlia,Damage,30,,,30 Lightning to Ogre,1,
1,2:34:17,Vex'ahlia,Damage,10,,,10 Lightning to Ogre,,
1,2:34:54,Grog,Insight,Nat20,20,,,,
1,2:34:54,Keyleth,Insight,20,10,,,,
1,2:34:54,Percy,Insight,Nat1,1,,,,
1,2:34:54,Scanlan,Insight,Unknown,Unknown,,,,"Gestures for bad roll, no number"
1,2:34:54,Tiberius,Insight,4,7,,,,
1,2:34:54,Vax'ildan,Insight,4,2,,,,
1,2:34:54,Vex'ahlia,Insight,22,16,,,,
1,2:36:28,Grog,Attack,26,18,,,,Axe
1,2:36:39,Grog,Damage,13,,,13 to Goblin,1,
1,2:37:07,Grog,Attack,21,13,,,,Axe
1,2:37:11,Grog,Damage,15,,,15 to Goblin,1,
1,2:39:00,Vax'ildan,Attack,Nat1,1,,,,
1,2:39:00,Vax'ildan,Attack,Nat20,20,Y,,,Dagger of Venom
1,2:39:15,Vax'ildan,Damage,35,,,35 to Ogre,1,"Damage should include poison, 
number not given because dead without"
1,2:41:30,Keyleth,Intimidation,4,4,,,,
1,2:47:55,Tiberius,Attack,23,14,,,,Scorching Ray
1,2:48:08,Tiberius,Damage,12,,,12 Fire to Naga,,
1,2:48:17,Tiberius,Attack,Nat20,20,Y,,,Scorching Ray
1,2:48:38,Tiberius,Damage,12,,,24 Fire to Naga,,
1,2:49:04,Vex'ahlia,Stealth,20,11,,,,
1,2:49:42,Vex'ahlia,Attack,21,10,,,,Arrow through Blazing Bowstring
1,2:50:10,Vex'ahlia,Damage,18,,,18 (11+7 Fire) to Naga,,
1,2:50:26,Vex'ahlia,Attack,24,13,,,,Arrow through Blazing Bowstring
1,2:50:34,Vex'ahlia,Damage,14,,,14 (7+7 Fire) to Naga,,
1,2:51:12,Grog,Attack,17,9,,,,Thrown Axe
1,2:51:24,Grog,Damage,15,,,15 to Naga,,
1,2:51:34,Vex'ahlia,Damage,6,,,6,,Hunter's Mark
1,2:51:45,Grog,Athletics,12,5,,,,
1,2:54:25,Keyleth,Constitution Save,Nat1,1,,31 Poison to Keyleth,,
1,2:55:11,Tiberius,Constitution Save,16,9,,14 Poison to Tiberius,,
1,2:56:10,Vax'ildan,Attack,30,19,Y,,,Dagger with Sneak Attack
1,2:56:30,Vax'ildan,Attack,26,16,,,,Dagger
1,2:56:45,Vax'ildan,Damage,44,,,44 to Naga,,
1,2:57:00,Vax'ildan,Damage,6,,,6 to Naga,,
1,2:58:11,Keyleth,Damage,8,,,4 to Naga,,Thunderwave
1,3:00:07,Scanlan,Damage,24,,,24 Lightning to Naga,1,"Lightning Bolt, FIRST HDYWTDT"
2,0:16:32,Keyleth,Constitution Save,Unknown,Unknown,,,,Disregarded due to advantage
2,0:16:32,Keyleth,Constitution Save,13,10,,,,With advantage
2,0:22:27,Percy,Persuasion,14,12,,,,
2,0:24:00,Vax'ildan,Sleight of Hand,11,2,,,,
2,0:24:25,Vax'ildan,Inspiration,8,,,,,
2,0:26:30,,,,,,,,"Several rolls for healing from rest, no values given"
2,0:26:50,Vex'ahlia,Investigation,25,23,,,,Bad math or actually proficent?
2,0:42:07,Vex'ahlia,Perception,Nat1,1,,,,
2,0:42:10,Percy,Perception,10,3,,,,Assists Vex
2,0:42:10,Vax'ildan,Perception,10,3,,,,This one was mouthed.
2,0:44:00,Vax'ildan,Dexterity Save,12,3,,,,
2,0:45:38,Tiberius,Arcana,13,7,,,,
2,0:51:38,Tiberius,Persuasion,11,2,,,,
2,0:53:45,Keyleth,Persuasion,8,8,,,,
2,0:53:45,Keyleth,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage
2,0:55:38,Vax'ildan,Persuasion,Nat20,20,,,,Disregarded due to disadvantage
2,0:55:38,Vax'ildan,Persuasion,19,17,,,,
2,1:02:54,Vex'ahlia,Persuasion,15,8,,,,
2,1:11:00,Percy,Tinkering,10,Unknown,,,,"Trapping Arrow,
Includes inspiration die, amount not given"
2,1:15:30,Percy,Arcana,15,12,,,,
2,1:15:52,Vex'ahlia,Investigation,Nat1,1,,,,
2,1:15:52,Keyleth,Investigation,5,3,,,,Assists Vex
2,1:22:25,Vex'ahlia,Investigation,17,15,,,,
2,1:26:25,Vax'ildan,Stealth,29,16,,,,
2,1:43:54,Vex'ahlia,Stealth,17,8,,,,
2,1:43:54,Vax'ildan,Stealth,18,5,,,,
2,1:44:44,Vax'ildan,Perception,18,8,,,,
2,1:46:39,Keyleth,Perception,12,2,,,,
2,1:50:45,Scanlan,Cutting Words,3,,,,,
2,1:51:40,Grog,Initiative,14,12,,,,
2,1:51:40,Keyleth,Initiative,17,15,,,,
2,1:51:40,Percy,Initiative,17,10,,,,
2,1:51:40,Scanlan,Initiative,19,19,,,,
2,1:51:40,Tiberius,Initiative,13,10,,,,
2,1:51:40,Vax'ildan,Initiative,15,10,,,,
2,1:51:40,Vex'ahlia,Initiative,24,19,,,,
2,1:52:54,Vex'ahlia,Charisma Save,13,8,,,,
2,1:55:09,Scanlan,Healing,9,,,,,"Healing Word, Percy heals 5 points"
2,1:55:57,Percy,Attack,30,19,,,,Disregarded due to disadvantage
2,1:55:57,Percy,Attack,25,19,,,,Pepperbox Ice Shot
2,1:56:28,Percy,Damage,14,,,14,,
2,1:56:48,Percy,Attack,Unknown,Unknown,,,,Pepperbox Misfire
2,1:59:30,Keyleth,Charisma Save,16,16,,,,
2,1:59:45,Keyleth,Attack,14,9,,,,Claw Attack
2,1:59:55,Keyleth,Attack,19,14,,,,Claw Attack
2,2:00:09,Keyleth,Attack,18,13,,,,Claw Attack
2,2:00:20,Keyleth,Damage,20,,,25,,
2,2:03:14,Vax'ildan,Attack,20,9,,,,Dagger with Sneak Attack
2,2:03:14,Vax'ildan,Attack,18,8,,,,Flame-Tongue Dagger
2,2:03:19,Vax'ildan,Damage,36,,,36,,
2,2:04:00,Vax'ildan,Damage,3,,,3,,
2,2:05:38,Grog,Charisma Save,11,10,,,,
2,2:05:44,Grog,Charisma Save,5,4,,,,Disregarded due to advantage
2,2:06:22,Grog,Attack,Nat1,1,,,,Great Axe
2,2:07:34,Tiberius,Arcana,17,11,,,,
2,2:09:20,Vex'ahlia,Attack,23,12,,,,Disregarded due to disadvantage
2,2:09:20,Vex'ahlia,Attack,23,12,,,,Arrow through Blood-Seeking Bow and HM
2,2:09:40,Vex'ahlia,Attack,Unknown,Unknown,,,,Arrow
2,2:09:40,Vex'ahlia,Attack,26,15,,,,
2,2:10:10,Vex'ahlia,Damage,29,,,29,,
2,2:11:50,Scanlan,Attack,19,10,,,,Roll for Polymorph
2,2:13:30,Percy,Attack,14,3,,,,Pepperbox Fire Shot
2,2:13:30,Percy,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
2,2:13:50,Percy,Inspiration,3,,,,,
2,2:14:00,Percy,Damage,17,,,17,,
2,2:16:12,Keyleth,Attack,Nat20,20,,,,Grapple – no crit effect
2,2:17:01,Keyleth,Athletics,20,14,,,,
2,2:19:25,Vax'ildan,Dexterity,21,12,,,,
2,2:20:22,Vax'ildan,Acrobatics,29,16,,,,
2,2:20:39,Vax'ildan,Attack,15,4,,,,Dagger
2,2:21:20,Grog,Attack,26,18,,,,Great Axe
2,2:21:20,Grog,Attack,26,18,,,,Great Axe
2,2:21:20,Grog,Attack,25,17,,,,Great Axe
